Symbol,Market Cap
MMM,138721055226
AOS,10783419933
ABT,102121042306
ABBV,181386347059
ACN,98765855553
ATVI,52518668144
AYI,6242377704
ADBE,94550214268
AAP,8123611867
AMD,11191663795
AES,6920851212
AET,59197016353
AMG,10442174371
AFL,33422948000
A,21984606918
APD,34638387128
AKAM,10906904066
ALK,7903173734
ALB,11782151266
ARE,12043374429
ALXN,26172439795
ALGN,18788041378
ALLE,7599609494
AGN,56668833898
ADS,13632608582
LNT,8670163500
ALL,34759468905
GOOGL,733823966137
GOOG,728535558140
MO,126985101434
AMZN,685873374731
AEE,12905744906
AAL,24594852352
AEP,31701916517
AXP,80410990000
AIG,54360073164
AMT,59213892640
AWK,13906146184
AMP,23472126000
ABC,20587704101
AME,17139651923
AMGN,128133340000
APH,26955335395
APC,32129091747
ADI,31811578855
ANDV,15696449735
ANSS,13155919129
ANTM,61221978627
AON,35123123422
APA,15066280977
AIV,6156884142
AAPL,809508034020
AMAT,51296481503
APTV,24906530300
ADM,23594770663
ARNC,12123300000
AJG,11968488290
AIZ,4653993594
T,226713270000
ADSK,24348294504
ADP,50337702249
AZO,19922021415
AVB,21856547430
AVY,10104814319
BHGE,32995712852
BLL,13767688518
BAC,321478200969
BAX,35713732553
BBT,42087562920
BDX,50910180308
BRK.B,261401203633
BBY,20831186176
BIIB,69157726427
BLK,85907759858
HRB,5381433872
BA,205617405233
BWA,11596117445
BXP,17799878487
BSX,36142506007
BHF,7066613254
BMY,102506501960
AVGO,92791974933
BF.B,5498033502
CHRW,12932483889
CA,14175422936
COG,10808821635
CDNS,10890625200
CPB,13467193376
COF,47637260000
CAH,20493281175
KMX,11827453706
CCL,49180044050
CAT,91822049046
CBOE,12998295607
CBG,14440591731
CBS,20431395736
CELG,74921079154
CNC,18012494506
CNP,11362043297
CTL,18237196861
CERN,21101697598
CF,9209106695
SCHW,69750188843
CHTR,86708878113
CHK,2626102121
CVX,218978820159
CMG,7685283970
CB,68424670566
CHD,11838963451
CI,47680910480
XEC,10089082025
CINF,11916533018
CTAS,16676145923
CSCO,199425716482
C,192709302000
CFG,22008050974
CTXS,13199167493
CME,54423298745
CMS,11873960824
KO,189855335601
CTSH,45119684067
CL,61616643498
CMCSA,186476996883
CMA,16274969256
CAG,14379717835
CXO,22021882339
COP,65482462410
ED,23335777662
STZ,41697453163
GLW,25759280346
COST,80439804508
COTY,13101112504
CCI,44183023189
CSRA,5134501276
CSX,47340511707
CMI,28669230787
CVS,75323141722
DHI,17390873686
DHR,66351150000
DRI,11745595320
DVA,13685178000
DE,52186628646
DAL,38393603535
XRAY,13390513478
DVN,19317380000
DLR,21400952517
DFS,27433540000
DISCA,8763756733
DISCK,8320262123
DISH,21032719056
DG,26580644874
DLTR,25151198417
D,47543571860
DOV,15566645713
DWDP,165203312427
DPS,21209783858
DTE,17808073691
DUK,52078185682
DRE,9035293365
DXC,27408621020
ETFC,13754977266
EMN,14226830813
ETN,35961772000
EBAY,44216696399
ECL,38460272282
EIX,19447670886
EW,27447099863
EA,37890226992
EMR,44040298425
ETR,13116894887
EVHC,4212729247
EOG,61164030149
EQT,12638828950
EFX,14121334618
EQIX,33333813618
EQR,20925508143
ESS,14383525286
EL,49543264457
RE,10131892523
ES,18027633617
EXC,34734816899
EXPE,19722178609
EXPD,11040678071
ESRX,42449656350
EXR,10133547517
XOM,326148660000
FFIV,8744185796
FB,523423036576
FAST,15311373377
FRT,8077368506
FDX,67280478816
FIS,32308459680
FITB,22437653700
FE,13706075072
FISV,26918949723
FLIR,6706992926
FLS,5427884956
FLR,7978485059
FMC,11273961835
FL,5819080328
F,42414328338
FTV,24916503061
FBHS,9624169008
BEN,21759187973
FCX,25853969330
GPS,12684517721
GRMN,11840331607
IT,10828314389
GD,64180390701
GE,132249296250
